Date,Ticker,Full_Article_Sentiment,Summary_Sentiment,change_in_full_sentiment,change_in_summary_sentiment,rolling_avg_full_sentiment,rolling_avg_summary_sentiment,volatility_full_sentiment,volatility_summary_sentiment
2023-08-16,PRV.UN:CA,0.9992,0.0,0.0004999999999999449,-0.9468,0.99895,0.4734,0.00035355339059323483,0.6694887004274231
2023-08-16,RWT,0.9991,0.6486,,,0.9991,0.6486,,
2023-08-16,SACH,0.7731,0.296,-0.21209999999999996,0.16799999999999998,0.87915,0.212,0.1499773482896667,0.11879393923933998
2023-08-16,STAG,0.9979,0.9451,-0.0006000000000000449,0.056600000000000095,0.9964000000000001,0.91505,0.0039479952718647895,0.04310657335797717
2023-08-17,APLE,0.9986,0.296,-0.0007999999999999119,-0.6442000000000001,0.9984000000000001,0.6862333333333334,0.001113552872566004,0.34303769958028424
2023-08-17,HST,0.9989,0.7906,0.0012999999999999678,0.4946,0.9982500000000001,0.5433,0.0009192388155424498,0.3497350139748664
2023-08-17,KLPEF,0.9822,0.8439,,,0.9822,0.8439,,
2023-08-18,CTRE,0.9931,0.7424,,,0.9931,0.7424,,
2023-08-18,MDV,0.9989,0.1779,,,0.9989,0.1779,,
2023-08-18,MPW,0.99935,0.91415,0.003549999999999942,0.42145,0.99541,0.62989,0.006885709839951143,0.22613188187427266
2023-08-18,OHI,0.9994,0.9652,9.999999999998899e-05,0.08729999999999993,0.999275,0.923375,0.0004193248541803076,0.04149533106266291
2023-08-18,PLD,0.9983500000000001,0.8687,-0.0013499999999999623,0.14480000000000004,0.99899,0.76978,0.0006711929677819923,0.25266811631070507
2023-08-18,VTR,0.9998,0.9498,0.0035000000000000586,0.0009000000000000119,0.99805,0.9493499999999999,0.002474873734152958,0.0006363961030679405
2023-08-19,SUI,0.9997,0.9709,,,0.9997,0.9709,,
2023-08-20,AGNC,0.9956,-0.1655,-0.0040000000000000036,-1.0965,0.9983875,0.6414,0.001874555502868134,0.5389090275733002
2023-08-20,MPW,0.9884,0.6486,-0.010950000000000015,-0.26555000000000006,0.9933099999999999,0.69379,0.007151258630479033,0.15329864806970736
2023-08-20,SAFE,0.9998,0.9042,0.000500000000000056,0.6779,0.999375,0.643275,0.00029860788111949296,0.3380901198891601
2023-08-20,VICI,0.9977,0.3818,0.003750000000000031,-0.31685,0.995825,0.540225,0.0026516504294496145,0.22404678361895758
2023-08-21,AGNC,0.9871,0.7783,-0.008500000000000063,0.9438,0.99613,0.66878,0.00530254655802284,0.4707074749778253
2023-08-21,EFRTF,0.999,0.8115,,,0.999,0.8115,,
2023-08-21,EPR,0.9857,0.802,0.26739999999999997,0.1896,0.92425,0.789575,0.1374071929218651,0.1474412510120556
2023-08-21,EPRT,0.9991,0.6249,0.0020999999999999908,-0.33099999999999996,0.9987,0.7946,0.0011460075625113854,0.1737325338942978
2023-08-21,MPW,0.9498,0.69375,-0.03859999999999997,0.04515000000000002,0.9833500000000001,0.68394,0.01976176864554397,0.15090987956393045
2023-08-21,PGRE,0.9978,0.296,,,0.9978,0.296,,
2023-08-22,APLE,0.9997,0.9337,0.0010999999999999899,0.6376999999999999,0.998725,0.7481,0.0011176612486199552,0.30620229696504025
2023-08-22,CHMI,0.8873,-0.128,,,0.8873,-0.128,,
2023-08-22,CIO,0.999,0.7269,,,0.999,0.7269,,
2023-08-22,DEA,0.9989,0.9627,1.5828,1.8108,0.20750000000000002,0.05730000000000002,1.1192086132620673,1.2804289593726002
2023-08-22,LAND,0.9997,0.2732,,,0.9997,0.2732,,
2023-08-22,MPW,0.9997,0.9737,0.049900000000000055,0.27995000000000003,0.98661,0.74458,0.02107303964785345,0.1977936696408659
2023-08-22,NLY,0.9973,0.8934,0.01869999999999994,0.2026,0.98978,0.5187999999999999,0.011528963526700915,0.46409189284020025
2023-08-22,VNQ,0.9976,0.9596,,,0.9976,0.9596,,
2023-08-23,ACRE,0.9896,0.891,-0.0012999999999999678,-0.027200000000000002,0.9902500000000001,0.9046000000000001,0.0009192388155425283,0.019233304448274133
2023-08-23,CPT,0.9996,0.9575,,,0.9996,0.9575,,
2023-08-23,DRR.UN:CA,0.9969,0.7184,,,0.9969,0.7184,,
2023-08-23,HPP,0.3337,0.2732,,,0.3337,0.2732,,
2023-08-23,IRT,0.9995,0.9274,,,0.9995,0.9274,,
2023-08-23,MPW,0.9957666666666666,-0.15303333333333333,-0.003933333333333455,-1.1267333333333334,0.9866033333333333,0.6154333333333334,0.021069410422590345,0.45148676537142873
2023-08-23,RPT,0.9612,-0.5609,,,0.9612,-0.5609,,
2023-08-24,ACRE,0.9991,0.6858,0.009499999999999953,-0.20520000000000005,0.9932,0.8316666666666667,0.005150728103870301,0.1270542141502333
2023-08-24,AIRC,0.9991,0.9735,,,0.9991,0.9735,,
2023-08-24,ARR,0.9986,0.431,,,0.9986,0.431,,
2023-08-24,EGP,0.9999,0.9101,0.0013999999999999568,-0.03920000000000001,0.9992666666666666,0.9460000000000001,0.0007094598884597426,0.03436902675375029
2023-08-24,ELME,0.9993,0.93,,,0.9993,0.93,,
2023-08-24,RITM,0.9995,0.8872,0.0017000000000000348,-0.02210000000000001,0.99865,0.89825,0.0012020815280171554,0.015627059864222706
2023-08-24,SLG,-0.782,-0.8201,-1.7753999999999999,-1.1813,0.10569999999999996,-0.22945000000000002,1.2553973793185964,0.8353052406156687
